,word,freq,cfbetweenness,eigenvalue
760,days,12,0.0027785749307124756,0.011431377304289813
753,told,10,0.0027752184919000614,0.011518414463554488
1811,misinformation,4,0.0027662597576573653,0.002021075315086906
2377,tonight,8,0.0027634777181312765,0.009495387568786616
2416,things,8,0.0027397444143730135,0.0072867535594813675
1063,sick,9,0.002735969436196414,0.0059886251782966336
798,tambien,4,0.0027334824691649775,0.00034618785859946277
1209,tenia,4,0.0027245337980084314,0.00026326425322341075
1201,state,10,0.0027111457529619817,0.009872641545032262
1767,tiempo,4,0.0027005352717388805,0.00033181770063358347
1814,cara,2,0.002685198458024734,5.2257812147252435e-05
725,global,9,0.002677071817202737,0.007405902192818596
56,back,15,0.0026768537145864,0.008525574183652065
661,day,12,0.0026739695776420817,0.011199343220509144
438,others,17,0.0026721636681059954,0.02135286762179424
1051,sana,2,0.0026590493670748463,9.054441771192387e-05
48,saber,3,0.0026569182894486043,0.00028346645711909536
737,most,10,0.002652329136231167,0.010812132888728124
2312,nuevo,4,0.002652126722278624,0.0005742334159134788
2330,her,7,0.0026415270039301013,0.004476877228231014
1989,puta,2,0.0026406851179839874,0.00011000376715221983
2075,medias,3,0.002633864550144137,0.001477704106381341
3325,jeremy,2,0.002633087081338037,0.0010076564089102984
2750,gratis,4,0.0026125624560619635,0.00019845916962901803
553,cura,7,0.0026121104622767767,0.00039396526756618614
1752,support,7,0.002610671829043353,0.008523701399993543
1282,buat,6,0.0026036612724073703,0.0003772275639439234
188,latina,3,0.0026009310338428434,0.0002636839746571298
310,cnn,2,0.002580827975164382,0.0008532869437052974
2358,universal,2,0.002578304917779808,0.0007473929548458501
2540,guedes,3,0.0025762579500482356,0.00027923187502154595
1032,moral,4,0.0025643538383426923,0.0028328199732670367
3130,maintenant,2,0.0025603874718214048,0.00010042905263161232
2507,working,9,0.0025564513902424364,0.012676147941877255
2885,sd,2,0.0025490144659237866,0.001007697141266038
1246,thats,7,0.0025468742531115935,0.004732305825191224
208,tested,16,0.0025404672418867873,0.011008824421901445
202,says,10,0.0025358860455712215,0.009264395675612403
131,taking,13,0.0025314682801060185,0.015469690482369623
2479,personnes,2,0.0025304846697724263,3.6722601913721995e-05
3386,evitar,3,0.0025267430217917252,0.000321380907288077
4510,vez,3,0.002525576925664182,0.00015510078318601482
1087,healthy,3,0.0025109542663682817,0.0025395315451406915
4260,proteger,2,0.0025103318092905232,0.00014770974271460357
3222,bagi,2,0.002507477827214037,0.0009818155100974372
858,use,4,0.002506152670351111,0.0045925992015963145
95,due,22,0.0025021891727612998,0.022772779240088407
1663,testing,17,0.0024965383528354965,0.010817174290782652
2339,ii,6,0.0024946090134041576,0.0024277691084514876
1780,avisar,2,0.002489210737399574,0.00020762041416709883
1365,personal,2,0.002489074087822791,0.0009719983118737976
633,yet,10,0.0024853313220495293,0.01493784271903543
735,española,3,0.0024834192044130457,0.00010418737930852037
2734,hilo,6,0.0024808485694434355,0.0004202358506031847
1230,lets,14,0.0024738977438316903,0.011466765503689932
3085,dialogue,2,0.0024722296005995573,0.00018486863450140563
345,parte,2,0.002471294754254222,0.00017523676438067548
789,american,14,0.0024621610581973376,0.01750605203089961
984,virtual,4,0.002460340142187872,0.0014561516407046611
157,too,6,0.0024484977926107375,0.004942508667119276
1156,protect,7,0.002436611608645105,0.008919564202796361
1738,centro,2,0.0024323288419249452,0.0002912887800273876
4536,años,4,0.002426076831411577,0.00036155930747178513
5090,agora,2,0.0024164610881018196,0.0001988473505744286
55,coming,10,0.00241602011226042,0.008111737246414476
4453,dalam,2,0.002412268749449986,0.0001376544552283789
992,care,10,0.002405341801794815,0.006976854175858079
465,life,8,0.002400962202463751,0.005829581764691907
2390,nak,3,0.002399382352403408,0.0009850816951772986
835,van,4,0.0023971906796488463,0.00018792825370539257
5206,pro,2,0.002395115751889723,0.0002842094026295738
4471,fazer,2,0.0023950626988397793,0.0001236794493313828
1577,medios,4,0.0023877358773593876,0.00027608470009265367
3044,ini,6,0.0023821357216237053,0.00047836714375460213
1145,united,10,0.002374026991987516,0.01375836570928086
1295,sini,2,0.0023683758971728484,0.00011924513215244791
2512,llevo,5,0.002350517092213554,0.0003276327033371956
484,political,6,0.002342252020073206,0.006761778607723316
996,march,9,0.002341093640603701,0.007621361421576003
2690,seattle,4,0.0023391602302402417,0.0029541508262184483
1964,flu,6,0.0023377167417672697,0.005244580331160678
228,hes,7,0.002334459319863982,0.0063325496785604195
3134,avec,3,0.002334187784086739,4.139276947877473e-05
1311,lunes,2,0.0023295035179585074,0.0001704708541278053
1374,hospitals,7,0.0023246500837967735,0.0049455394755793
468,hijos,3,0.0023216162734398344,9.608687103270433e-05
1364,provide,5,0.0023171427941086134,0.007210246522605217
781,americans,8,0.0023145120531832385,0.008425348318736819
532,mayores,3,0.0023121013337396227,0.00023110229214079168
646,having,15,0.0023117108704706723,0.021284770600504366
5104,dê,2,0.002297989788142296,0.0002266359381189869
762,stop,8,0.0022967418463797607,0.009562524707970083
613,isnt,10,0.0022944057288875916,0.010999050103027647
2219,harap,2,0.0022902882511822995,5.767697016653588e-05
3857,vuelo,6,0.0022896827477269146,0.00041053887409575997
2603,usar,2,0.0022828809813110838,0.00011332611785133048
4479,seria,3,0.0022817599090112608,0.0002832539885552529
2460,emergencia,3,0.002279254925708202,0.00018699350692161725
1674,nivel,2,0.0022774421373151056,9.425406969483451e-05
4834,gas,3,0.0022741134948995848,0.00011101750130450581
1792,students,10,0.002272910293507247,0.006313356900781263
2142,paraguay,4,0.0022727439873870907,0.00034480011442567616
740,everyone,15,0.002264618455428099,0.014485492919745688
1849,quedateentucasa,2,0.0022627862464124474,0.00014174111632029825
836,contagiados,4,0.0022613359622574774,0.00028021733121967786
1768,acabo,2,0.0022530828978144803,5.32151535140973e-05
517,coronavirusoutbreak,8,0.0022484601385406667,0.003659610363106834
711,mil,2,0.002247630958432791,0.00023126902461238107
99,around,20,0.0022471685001620094,0.025148772116491212
440,situation,9,0.002244061624720096,0.004313793746691264
1043,update,13,0.002243704097615482,0.011393985635871889
2141,positivo,3,0.002243516955245992,0.00020174226594032833
4435,cuti,3,0.002230805600775506,0.0010425483044417673
813,national,13,0.0022291137806295376,0.014534975899042794
1833,yok,2,0.0022275495903719056,0.00011801661513321019
1554,soon,3,0.0022258853698960876,0.001397783493227557
906,esse,2,0.0022188942763922514,0.00012243674579496554
3258,regimen,3,0.0022176906494969155,0.0042331976848392
3327,director,3,0.0022145414238497127,0.0004888382577638968
1629,morning,6,0.0022117433667772847,0.004425931936028151
1945,order,7,0.0022113082806920295,0.0065311504686033535
2608,doesnt,9,0.002211226410001469,0.005947268515913956
534,deben,3,0.002208758140591258,0.00018956734344419224
1676,unidos,5,0.002204086437990094,0.00036839249795173116
2598,hacia,3,0.0022023957123802848,0.00011649239908226471
411,fuerza,3,0.002202105319424166,0.0002733430967936916
782,comes,4,0.0022001349208546597,0.004524474291422099
1091,haber,3,0.0021965142500540726,0.00027703857159781006
3369,responsables,3,0.002194851582400051,0.0003514115699928283
2877,fronteras,3,0.0021892569939424332,0.00019612313307375718
786,family,7,0.0021841091173057862,0.007850151536892103
831,preventiva,3,0.0021826727760081736,0.0001872513679612603
190,cumplimiento,2,0.0021824826353709988,0.00020317397897819656
1797,internet,6,0.0021780283649964834,0.0026046444167086968
1729,octubre,2,0.0021775901736004358,4.986960655904629e-05
1515,voice,2,0.002177231476593066,0.0009260345010871552
184,barbosa,2,0.002169867176844761,0.00020404266411072944
1237,disease,8,0.002169448707726505,0.007284953745096524
3818,fin,2,0.002164981691666982,9.362429053018404e-05
562,dans,2,0.0021576687344509716,8.631867030402124e-05
3317,does,7,0.002156919340659738,0.006038203195861371
1240,fight,13,0.002147526674144234,0.014917176988799088
1683,satu,2,0.002144460485445996,0.00010360782820053478
4477,recomendaciones,3,0.002143901682153623,0.00029144421578157357
3020,efe,6,0.0021436797092655438,0.0011753016495030535
246,last,11,0.002139994115846863,0.006856077964553948
1243,better,6,0.002139492084232888,0.004713436574381947
278,business,4,0.0021390049861745477,0.002873817991963487
2789,plus,2,0.002136954156422877,0.0010618187011608566
4700,protagonismo,2,0.0021365724447981516,9.082904668363703e-05
386,govt,6,0.00212670477113085,0.006589552412371448
4632,sur,2,0.002125561111251706,0.00012352794958020303
2127,horas,2,0.0021217092143144115,0.00021274650558804106
862,city,10,0.0021186015641144963,0.009504048271291093
3072,todays,4,0.002117373703210593,0.0029493896755349767
211,symptoms,17,0.0021163954065289113,0.012988317031348205
9,house,11,0.002115365889204332,0.012212627875697471
2271,spreading,5,0.0021145943927830336,0.003528443507206433
1069,another,7,0.0021098346506060305,0.006634652173519577
1093,asistir,2,0.002103339764031969,0.00023937047578391916
3554,seguridad,2,0.0021002044894092727,0.00024054337127709844
644,fake,28,0.0020994836554773717,0.03852580657907296
