Country;ISO 3;INFORM COVID-19 RISK;COVID-19 RISK CLASS;COVID-19 HAZARD & EXPOSURE;COVID-19 HAZARD & EXPOSURE CLASS;COVID-19 VULNERABILITY;VULNERABILITY;VULNERABILITY CLASS;COVID-19 LACK OF COPING CAPACITY;LACK OF COPING CAPACITY;LACK OF COPING CAPACITY CLASS;INFORM RISK;RISK CLASS;INFORM SEVERITY INDEX;INFORM SEVERITY INDEX CLASS;INFORM SEVERITY INDEX CLASS;INFORM COVID Risk + INFORM Risk;INFORM COVID - INFORM RISK 
North Macedonia;MKD;3,7;Medium;2,5;Low;6,4;4,5;High;4,4;4,4;High;2,4;Low;-;-;-;3,1;1,3
Norway;NOR;1,9;Very Low;2,0;Low;6,1;4,1;High;0,4;0,8;Very Low;0,9;Very Low;-;-;-;1,4;1,0
Oman;OMN;3,0;Low;5,0;High;3,0;2,2;Low;1,3;2,4;Low;2,5;Low;-;-;-;2,8;0,5
Pakistan;PAK;5,3;High;5,3;High;3,4;4,4;High;6,2;6,4;Very High;6,1;High;3,4;4;High;5,7;-0,8
Palau;PLW;3,9;Medium;3,5;Medium;3,7;3,3;Medium;5,8;5,2;High;2,5;Low;-;-;-;3,2;1,4
Palestine;PSE;5,0;High;5,1;High;2,9;4,1;High;7,5;6,0;High;5,2;High;3,4;4;High;5,1;-0,2
Panama;PAN;3,7;Medium;3,6;Medium;4,2;3,4;Medium;4,0;4,3;High;3,5;Medium;-;-;-;3,6;0,2
Papua New Guinea;PNG;5,7;High;5,6;High;4,2;4,8;High;7,0;6,8;Very High;5,7;High;-;-;-;5,7;0,0
Paraguay;PRY;3,6;Medium;2,5;Low;3,7;3,4;Medium;5,7;5,7;High;3,1;Low;-;-;-;3,4;0,5
Peru;PER;4,3;Medium;4,0;Medium;3,8;3,8;Medium;4,8;5,1;High;4,7;Medium;2,3;3;Medium;4,5;-0,4
Philippines;PHL;4,7;Medium;4,5;High;4,3;4,1;High;5,0;5,5;High;5,5;High;2,5;3;Medium;5,1;-0,8
Poland;POL;3,1;Low;2,0;Low;7,6;5,2;High;2,5;2,8;Medium;1,7;Very Low;-;-;-;2,4;1,4
Portugal;PRT;2,8;Low;2,2;Low;8,1;5,6;High;1,2;1,7;Low;1,6;Very Low;-;-;-;2,2;1,2
Qatar;QAT;3,3;Low;5,0;High;3,4;2,3;Low;3,2;3,2;Medium;1,3;Very Low;-;-;-;2,3;2,0
Romania;ROU;3,7;Medium;2,4;Low;7,9;5,6;High;2,7;3,7;Medium;2,6;Low;-;-;-;3,2;1,1
Russian Federation;RUS;3,2;Low;2,3;Low;6,7;4,8;High;1,3;3,0;Medium;4,0;Medium;-;-;-;3,6;-0,8
Rwanda;RWA;5,0;High;5,9;High;2,2;4,6;High;4,2;4,6;High;4,3;Medium;-;-;-;4,7;0,7
Saint Kitts and Nevis;KNA;3,3;Low;2,9;Medium;3,9;2,9;Medium;5,1;4,3;High;1,9;Very Low;-;-;-;2,6;1,4
Saint Lucia;LCA;3,9;Medium;2,5;Low;6,2;4,8;High;4,5;4,8;High;2,3;Low;-;-;-;3,1;1,6
Saint Vincent and the Grenadines;VCT;4,1;Medium;3,8;Medium;5,6;3,9;Medium;5,3;4,8;High;2,0;Low;-;-;-;3,1;2,1
Samoa;WSM;3,3;Low;1,8;Low;3,7;3,8;Medium;5,1;5,2;High;3,0;Low;-;-;-;3,2;0,3
